full_name,truncated_name
A Manufacturing Conversion of Commercial Trucks from Fossil Fuel to Zero Emissions for Volvo Group's Mack and Volvo Brands,A Manufacturing Conversio
Accelerating the shift to zero: Charting a path for workforce transition and community improvement toward a zero-emissions economy,Accelerating the shift to
Blue Bird Bus Electric Vehicle Manufacturing Conversion Project,Blue Bird Bus Electric Ve
Conversion IMPACT: Conversion of Intelligent Manufacturing for Producing American Clean Trucks,Conversion IMPACT: Conver
"Electric Vehicle (""EV"") Conversion in York, Pennsylvania",Electric Vehicle (EV) Con
EV conversion,EV conversion
FCA US Conversion of Belvidere Assembly Plant to a Vehicle Assembly Complex for Electrification,FCA US Conversion of Belv
FCA US Conversion of Indiana Transmission Plant for Electric Drive Modules,FCA US Conversion of Indi
MNA-OH PHEV Conversion and MUSe Battery System Assembly Plant Construction,MNA-OH PHEV Conversion an
Next Generation All-Electric Van Production,Next Generation All-Elect
