program,project,state,district,industry_code,employment,output
idp,Induction Melting Upgrade,Alabama,07,185,0.0901,32181.3433
idp,Induction Melting Upgrade,Alabama,07,257,0.0004,233.4293
idp,Induction Melting Upgrade,Alabama,07,260,0.0005,168.9227
idp,Induction Melting Upgrade,Alabama,07,262,0.0166,5584.9136
idp,Induction Melting Upgrade,Alabama,07,281,0.0016,784.4569
idp,Induction Melting Upgrade,Alabama,07,286,0.0016,494.1853
idp,Induction Melting Upgrade,Alabama,07,313,0.0281,16906.717
idp,Induction Melting Upgrade,Alabama,07,2,0.0019,646.2615
idp,Induction Melting Upgrade,Alabama,07,3,0.0242,1900.6519
idp,Induction Melting Upgrade,Alabama,07,4,0.0065,303.2857
idp,Induction Melting Upgrade,Alabama,07,6,0.0168,1898.9779
idp,Induction Melting Upgrade,Alabama,07,10,0.1716,5210.3383
idp,Induction Melting Upgrade,Alabama,07,11,0.0036,298.2492
idp,Induction Melting Upgrade,Alabama,07,13,0.0018,1252.3799
idp,Induction Melting Upgrade,Alabama,07,14,0.0906,6250.5864
idp,Induction Melting Upgrade,Alabama,07,15,0.0075,926.3269
idp,Induction Melting Upgrade,Alabama,07,16,0.0652,4560.437
idp,Induction Melting Upgrade,Alabama,07,17,0.0076,258.5165
idp,Induction Melting Upgrade,Alabama,07,18,0.0043,360.5982
idp,Induction Melting Upgrade,Alabama,07,19,0.022,629.1594
idp,Induction Melting Upgrade,Alabama,07,20,0.0483,26204.1702
idp,Induction Melting Upgrade,Alabama,07,21,0.0102,10881.4655
idp,Induction Melting Upgrade,Alabama,07,26,0.6328,247239.9012
idp,Induction Melting Upgrade,Alabama,07,27,0.2418,66316.3537
idp,Induction Melting Upgrade,Alabama,07,28,0.0046,1419.09
idp,Induction Melting Upgrade,Alabama,07,29,0.0213,5108.552
idp,Induction Melting Upgrade,Alabama,07,34,0.0019,1665.1641
idp,Induction Melting Upgrade,Alabama,07,35,0.0547,95975.9323
idp,Induction Melting Upgrade,Alabama,07,36,0.0042,4473.5258
idp,Induction Melting Upgrade,Alabama,07,37,0.0005,326.7903
idp,Induction Melting Upgrade,Alabama,07,38,0.0004,1163.5155
idp,Induction Melting Upgrade,Alabama,07,40,0.0008,924.2963
idp,Induction Melting Upgrade,Alabama,07,42,0.4015,624185.1996
idp,Induction Melting Upgrade,Alabama,07,43,0.0626,37547.9495
idp,Induction Melting Upgrade,Alabama,07,44,0.0288,6701.8941
idp,Induction Melting Upgrade,Alabama,07,55,0.5143,113913.1251
idp,Induction Melting Upgrade,Alabama,07,56,0.1624,25145.252
idp,Induction Melting Upgrade,Alabama,07,57,0.0007,148.3061
idp,Induction Melting Upgrade,Alabama,07,58,0.0002,179.319
idp,Induction Melting Upgrade,Alabama,07,59,0.001,1650.2785
idp,Induction Melting Upgrade,Alabama,07,60,0.0002,225.6775
idp,Induction Melting Upgrade,Alabama,07,65,0.0002,462.6468
idp,Induction Melting Upgrade,Alabama,07,73,0.0036,1392.2595
idp,Induction Melting Upgrade,Alabama,07,75,0.0004,324.9296
idp,Induction Melting Upgrade,Alabama,07,78,0.0004,464.9782
idp,Induction Melting Upgrade,Alabama,07,81,0.0003,126.0758
idp,Induction Melting Upgrade,Alabama,07,83,0.0195,7161.5327
idp,Induction Melting Upgrade,Alabama,07,84,0.0004,260.4445
idp,Induction Melting Upgrade,Alabama,07,85,0.0008,460.9781
idp,Induction Melting Upgrade,Alabama,07,86,0.0002,129.698
idp,Induction Melting Upgrade,Alabama,07,87,0.0016,860.6445
idp,Induction Melting Upgrade,Alabama,07,88,0.0148,2750.4371
idp,Induction Melting Upgrade,Alabama,07,92,0.0008,681.4377
idp,Induction Melting Upgrade,Alabama,07,93,0.001,728.9743
idp,Induction Melting Upgrade,Alabama,07,94,0.0003,221.9251
idp,Induction Melting Upgrade,Alabama,07,97,0.0008,475.6816
idp,Induction Melting Upgrade,Alabama,07,98,0.0006,310.0893
idp,Induction Melting Upgrade,Alabama,07,99,0.0229,16482.997
idp,Induction Melting Upgrade,Alabama,07,100,0.0016,301.5093
idp,Induction Melting Upgrade,Alabama,07,101,0.0018,523.7176
idp,Induction Melting Upgrade,Alabama,07,104,0.0028,7792.1823
idp,Induction Melting Upgrade,Alabama,07,119,0.0039,540.9575
idp,Induction Melting Upgrade,Alabama,07,124,0.1318,69847.0995
idp,Induction Melting Upgrade,Alabama,07,125,0.0094,8908.4314
idp,Induction Melting Upgrade,Alabama,07,126,0.1457,62933.8457
idp,Induction Melting Upgrade,Alabama,07,127,0.0203,8787.3134
idp,Induction Melting Upgrade,Alabama,07,128,0.0531,52913.0918
idp,Induction Melting Upgrade,Alabama,07,129,0.0034,1065.4424
idp,Induction Melting Upgrade,Alabama,07,130,0.0151,6159.0789
idp,Induction Melting Upgrade,Alabama,07,131,0.0357,11670.4748
idp,Induction Melting Upgrade,Alabama,07,132,0.009,2407.2767
idp,Induction Melting Upgrade,Alabama,07,134,0.0222,8595.3195
idp,Induction Melting Upgrade,Alabama,07,135,0.0074,2240.1751
idp,Induction Melting Upgrade,Alabama,07,137,0.0155,16259.8216
idp,Induction Melting Upgrade,Alabama,07,138,0.0022,2565.3013
idp,Induction Melting Upgrade,Alabama,07,139,0.0301,19214.3742
idp,Induction Melting Upgrade,Alabama,07,140,0.0002,122.9704
idp,Induction Melting Upgrade,Alabama,07,144,0.0917,15257.1874
idp,Induction Melting Upgrade,Alabama,07,146,0.0899,851876.5475
idp,Induction Melting Upgrade,Alabama,07,147,0.0138,13915.949
