DestinationRegion,ProjectName,IndustryCode,IndustryDescription,Output,Employment,Sum of  WageAndSalaryEmployment,Sum of  ProprietorEmployment,Sum of  EmployeeCompensation,Sum of  ProprietorIncome,Sum of  TaxesOnProductionAndImports,Sum of  OtherPropertyIncome
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,47,Construction of new power and communication structures,"880,000,000.00","4,821.37","3,566.56","1,254.81","338,303,642.90","85,612,620.22","10,262,999.90","186,954,696.70"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,1,Oilseed farming,576.08,0,0,0,15.97,36.91,3.44,330.25
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,2,Grain farming,"116,365.73",0.09,0.04,0.05,"4,680.85","4,394.69","-2,440.37","21,901.80"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,3,Vegetable and melon farming,"452,247.75",1.35,1.15,0.2,"42,139.13","39,847.33","6,676.54","156,944.90"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,4,Fruit farming,"316,358.25",1.92,1.63,0.29,"44,837.87","66,584.98","4,903.63","67,422.64"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,5,Tree nut farming,"58,726.23",0.39,0.25,0.14,"16,838.40","22,579.51","2,033.69","12,602.29"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,6,"Greenhouse, nursery, and floriculture production","307,519.08",1.04,0.98,0.06,"56,852.90","15,347.32","2,537.47","124,988.71"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,8,Cotton farming,"1,401.64",0,0,0,220.42,34.19,-0.47,294.93
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,9,Sugarcane and sugar beet farming,"6,659.87",0.01,0.01,0,917.42,190.26,-1.13,"2,096.09"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,10,All other crop farming,"272,633.59",1.12,0.24,0.87,"35,043.93","10,884.18",-57.69,"80,798.60"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming","336,299.20",0.65,0.11,0.53,"4,884.35","42,881.67","1,800.51","37,567.56"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,12,Dairy cattle and milk production,"339,145.44",0.53,0.48,0.05,"14,036.45","15,859.86","3,464.62","55,686.80"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,13,Poultry and egg production,"227,090.09",0.09,0.07,0.02,"10,589.24","1,386.46","1,949.52","31,914.99"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,14,"Animal production, except cattle and poultry and eggs","42,109.57",0.13,0.05,0.08,"4,391.60","6,704.81",288.3,"21,663.71"
