OriginRegion,DestinationRegion,EventName,ProjectName,IndustryCode,IndustryDescription,ImpactType,Output,Employment,WageAndSalaryEmployment,ProprietorEmployment,EmployeeCompensation,ProprietorIncome,TaxesOnProductionAndImports,OtherPropertyIncome,TagName
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,185,Other plastics product manufacturing,Total,"32,181.343328192",0.090113997,0.088909270,0.001204727,"7,438.099023497",33.878178486,152.497816325,"1,258.024862802",AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,236,"Metal barrels, drums and pails manufacturing",Total,0.795489719,0.000001729,0.000001676,0.000000053,0.141901247,0.006133559,0.002971541,0.108429819,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,257,Semiconductor machinery manufacturing,Total,233.429301266,0.000351381,0.000297350,0.000054031,84.323274638,-0.109533429,0.524358835,42.022492936,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,260,All other industrial machinery manufacturing,Total,168.922744866,0.000487914,0.000472541,0.000015373,53.322116564,-0.140420942,0.556578285,16.658171789,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,262,Industrial and commercial fan and blower and air purification equipment manufacturing,Total,"5,584.913627874",0.016596482,0.015660535,0.000935947,"1,808.158476440",-5.150337544,21.526447257,494.113555745,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,281,Welding and soldering equipment manufacturing,Total,784.456899622,0.001577223,0.001540885,0.000036337,166.678815827,-0.203450239,2.837817134,89.603461645,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,286,"Scales, balances, and miscellaneous general purpose machinery manufacturing",Total,494.185339918,0.001564039,0.001556389,0.000007649,124.245040779,-0.038510606,1.908081228,29.494995003,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,313,Major household appliance manufacturing,Total,"16,906.716973510",0.028141583,0.027174177,0.000967406,"2,597.466117595",3.701981578,31.317512617,"2,633.940939152",AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,358,Blind and shade manufacturing,Total,71.963569704,0.000318079,0.000295852,0.000022227,11.754336394,0.061085551,0.189536315,-2.793958125,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,1,Oilseed farming,Total,16.332641741,0.000038407,0.000007996,0.000030411,0.294580449,5.521033426,0.211562655,6.183942838,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,2,Grain farming,Total,646.261468803,0.001874706,0.000393743,0.001480964,16.258519001,150.657542799,-136.721656412,84.732416322,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,3,Vegetable and melon farming,Total,"1,900.651863153",0.024195417,0.015377102,0.008818315,144.514622387,879.821791203,27.389125370,637.960580153,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,4,Fruit farming,Total,303.285748851,0.006484485,0.003689625,0.002794860,23.192970496,464.740562157,4.441847720,-193.565780925,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,5,Tree nut farming,Total,56.985790023,0.001711968,0.000402743,0.001309225,6.154515928,123.209305875,1.893638758,-76.149664908,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,6,"Greenhouse, nursery, and floriculture production",Total,"1,898.977858000",0.016801217,0.013696994,0.003104224,207.440897509,784.310135407,11.161709168,200.415555069,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,8,Cotton farming,Total,62.616896571,0.000155367,0.000104818,0.000050549,6.912303130,7.629786728,-0.092244807,6.819506748,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,10,All other crop farming,Total,"5,210.338342234",0.171619846,0.012578728,0.159041118,548.600144405,901.131953919,-14.379655802,"1,074.900787995",AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",Total,298.249174527,0.003587676,0.000242741,0.003344935,2.997672222,156.774231199,4.789601530,118.963175373,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,12,Dairy cattle and milk production,Total,2.725278394,0.000010709,0.000007529,0.000003179,0.063460712,0.710247033,0.022608591,0.462365822,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,13,Poultry and egg production,Total,"1,252.379916735",0.001809407,0.000994587,0.000814820,44.435309435,38.178274303,12.168446861,68.135753859,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,14,"Animal production, except cattle and poultry and eggs",Total,"6,250.586428760",0.090629629,0.012850732,0.077778897,329.585715354,"2,970.829428324",102.604239661,"2,715.452050125",AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,15,"Forestry, forest products, and timber tract production",Total,926.326886883,0.007526734,0.006062110,0.001464624,492.937166055,41.799110436,24.262736352,291.159129556,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,16,Commercial logging,Total,"4,560.437032475",0.065184182,0.047827007,0.017357175,"3,548.861231991",646.549556990,112.098396948,-16.468796808,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,17,Commercial fishing,Total,258.516523268,0.007611984,0.000378777,0.007233207,15.061644541,-111.434104641,31.033382370,322.748966349,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,18,Commercial hunting and trapping,Total,360.598174712,0.004319735,0.000284014,0.004035721,17.413895895,-13.352665421,41.469736548,270.843032389,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,19,Support activities for agriculture and forestry,Total,629.159434743,0.022025224,0.012244642,0.009780582,670.695995781,-106.933143093,18.495972175,-0.104546950,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,20,Oil and gas extraction,Total,"26,204.170176531",0.048307973,0.008941945,0.039366028,"1,857.291763777",0.736338053,"2,057.647727394","1,661.330436765",AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,21,Coal mining,Total,"10,881.465529885",0.010222359,0.007170261,0.003052098,"1,240.506309286",1.857442144,234.662489970,"4,871.540322246",AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,23,Iron ore mining,Total,22.406989609,0.000049254,0.000048443,0.000000811,3.860847096,0.010537291,0.256225108,1.147051149,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,24,Gold ore and silver ore mining,Total,83.814556595,0.000144720,0.000103480,0.000041240,17.258574562,-0.094726409,0.913507668,10.989248977,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,26,Stone mining and quarrying,Total,"247,239.901210784",0.632757156,0.587426800,0.045330356,"58,032.900353254","-12,419.465521349","4,496.590658822","86,975.635688681",AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,27,Sand and gravel mining,Total,"66,316.353695405",0.241812163,0.235698734,0.006113429,"20,481.361291335",-226.396588686,"1,279.548127826","10,854.020378208",AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,28,"Other clay, ceramic, refractory minerals mining",Total,"1,419.090032844",0.004551024,0.003762188,0.000788836,457.269171463,-27.999004269,13.388685281,64.524786772,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,29,Other nonmetallic mineral mining and quarrying,Total,"5,108.551973620",0.021295693,0.019262188,0.002033505,"1,343.919153566",-100.861524753,126.185368580,860.791535013,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,30,Drilling oil and gas wells,Total,0.121902319,0.000000930,0.000000819,0.000000111,0.064192821,0.005464738,0.003282758,-0.012603763,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,31,Support activities for oil and gas operations,Total,80.160460162,0.000396510,0.000313481,0.000083029,28.756274180,2.394097638,4.176041326,15.648318326,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,32,Metal mining services,Total,0.470792001,0.000003377,0.000000000,0.000003377,0.000000000,-0.011134492,0.027186304,0.000000000,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,33,Other nonmetallic minerals services,Total,32.322682676,0.000137104,0.000121636,0.000015468,11.310247024,-1.752517571,0.524892106,0.456857186,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,34,Electric power generation - Hydroelectric,Total,"1,665.164074444",0.001878838,0.001799310,0.000079528,524.006698656,-0.099658598,191.944800823,281.035088867,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,35,Electric power generation - Fossil  fuel,Total,"95,975.932251985",0.054736429,0.053702095,0.001034334,"11,224.501190635",0.766219124,"10,474.522791655","27,428.369593681",AL-07
