industry_code,industry_desc
1,Oilseed farming
2,Grain farming
3,Vegetable and melon farming
4,Fruit farming
5,Tree nut farming
6,"Greenhouse, nursery, and floriculture production"
7,Tobacco farming
8,Cotton farming
9,Sugarcane and sugar beet farming
10,All other crop farming
11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming"
12,Dairy cattle and milk production
13,Poultry and egg production
14,"Animal production, except cattle and poultry and eggs"
15,"Forestry, forest products, and timber tract production"
16,Commercial logging
17,Commercial fishing
18,Commercial hunting and trapping
19,Support activities for agriculture and forestry
20,Oil and gas extraction
21,Coal mining
22,"Copper, nickel, lead, and zinc mining"
23,Iron ore mining
24,Gold ore and silver ore mining
25,Other metal ore mining
26,Stone mining and quarrying
27,Sand and gravel mining
28,"Other clay, ceramic, refractory minerals mining"
29,Other nonmetallic mineral mining and quarrying
30,Drilling oil and gas wells
31,Support activities for oil and gas operations
32,Metal mining services
33,Other nonmetallic minerals services
34,Electric power generation - Hydroelectric
35,Electric power generation - Fossil  fuel
36,Electric power generation - Nuclear
37,Electric power generation - Solar
38,Electric power generation - Wind
39,Electric power generation - Geothermal
40,Electric power generation - Biomass
41,Electric power generation - All other
42,Electric power transmission and distribution
43,Natural gas distribution
44,"Water, sewage and other systems"
46,Construction of new manufacturing structures
47,Construction of new power and communication structures
49,Construction of new highways and streets
50,"Construction of new commercial structures, including farm structures"
51,Construction of other new nonresidential structures
55,Maintenance and repair construction of nonresidential structures
56,Maintenance and repair construction of residential structures
57,"Maintenance and repair construction of highways, streets, bridges, and tunnels"
58,Dog and cat food manufacturing
59,Other animal food manufacturing
60,Flour milling
61,Rice milling
62,Malt manufacturing
63,Wet corn milling
64,Soybean and other oilseed processing
65,Fats and oils refining and blending
66,Breakfast cereal manufacturing
67,Beet sugar manufacturing
68,Sugar cane mills and refining
69,Nonchocolate confectionery manufacturing
70,Chocolate and confectionery manufacturing from cacao beans
71,Confectionery manufacturing from purchased chocolate
72,"Frozen fruits, juices and vegetables manufacturing"
73,Frozen specialties manufacturing
74,Canned fruits and vegetables manufacturing
75,Canned specialties
76,Dehydrated food products manufacturing
77,Cheese manufacturing
78,"Dry, condensed, and evaporated dairy product manufacturing"
79,Fluid milk manufacturing
80,Creamery butter manufacturing
81,Ice cream and frozen dessert manufacturing
82,Frozen cakes and other pastries manufacturing
83,Poultry processing
84,"Animal, except poultry, slaughtering"
85,Meat processed from carcasses
86,Rendering and meat byproduct processing
87,Seafood product preparation and packaging
88,"Bread and bakery product, except frozen, manufacturing"
89,Cookie and cracker manufacturing
90,"Dry pasta, mixes, and dough manufacturing"
91,Tortilla manufacturing
92,Roasted nuts and peanut butter manufacturing
93,Other snack food manufacturing
94,Coffee and tea manufacturing
95,Flavoring syrup and concentrate manufacturing
96,"Mayonnaise, dressing, and sauce manufacturing"
97,Spice and extract manufacturing
98,All other food manufacturing
99,Bottled and canned soft drinks and water
100,Manufactured ice
101,Breweries
102,Wineries
103,Distilleries
