truncated_name,full_name
Long-DurationEnergy_Assembly_Pumped Thermal Energy Sto_439_AK-01,Pumped Thermal Energy Storage in Alaska Railbelt (POLAR)  
Long-DurationEnergy_Assembly_Pumped Thermal Energy Sto_444_AK-01,Pumped Thermal Energy Storage in Alaska Railbelt (POLAR)  
Long-DurationEnergy_Assembly_Pumped Thermal Energy Sto_46_AK-01,Pumped Thermal Energy Storage in Alaska Railbelt (POLAR)  
Long-DurationEnergy_Assembly_Pumped Thermal Energy Sto_51_AK-01,Pumped Thermal Energy Storage in Alaska Railbelt (POLAR)  
CleanEnergy_Assembly_Freeport_22_AZ-05,MILESHIGH Project
CleanEnergy_Assembly_Freeport_255_AZ-05,MILESHIGH Project
CleanEnergy_Assembly_Freeport_47_AZ-05,MILESHIGH Project
Long-DurationEnergy_Assembly_Communities Accessing Res_318_CA-02,Communities Accessing Resilient Energy Storage (CARES)
Long-DurationEnergy_Assembly_Communities Accessing Res_3318_CA-02,Communities Accessing Resilient Energy Storage (CARES)
Long-DurationEnergy_Assembly_Communities Accessing Res_47_CA-02,Communities Accessing Resilient Energy Storage (CARES)
Long-DurationEnergy_Assembly_Communities Accessing Res_318_CA-04,Communities Accessing Resilient Energy Storage (CARES)
Long-DurationEnergy_Assembly_Communities Accessing Res_3318_CA-04,Communities Accessing Resilient Energy Storage (CARES)
Long-DurationEnergy_Assembly_Communities Accessing Res_47_CA-04,Communities Accessing Resilient Energy Storage (CARES)
Long-DurationEnergy_Assembly_Second Life Smart Systems_318_CA-49,Second Life Smart Systems (SMART)
Long-DurationEnergy_Assembly_Second Life Smart Systems_3318_CA-49,Second Life Smart Systems (SMART)
Long-DurationEnergy_Assembly_Second Life Smart Systems_47_CA-49,Second Life Smart Systems (SMART)
Long-DurationEnergy_Assembly_Second Life Smart Systems_318_GA-05,Second Life Smart Systems (SMART)
Long-DurationEnergy_Assembly_Second Life Smart Systems_3318_GA-05,Second Life Smart Systems (SMART)
Long-DurationEnergy_Assembly_Second Life Smart Systems_47_GA-05,Second Life Smart Systems (SMART)
Long-DurationEnergy_Assembly_Second Life Smart Systems_318_LA-02,Second Life Smart Systems (SMART)
Long-DurationEnergy_Assembly_Second Life Smart Systems_3318_LA-02,Second Life Smart Systems (SMART)
Long-DurationEnergy_Assembly_Second Life Smart Systems_47_LA-02,Second Life Smart Systems (SMART)
CarbonManagement_Assembly_Project Cypress_260_LA-04,Project Cypress
CarbonManagement_Assembly_Project Cypress_262_LA-04,Project Cypress
CarbonManagement_Assembly_Project Cypress_3260_LA-04,Project Cypress
CarbonManagement_Assembly_Project Cypress_3262_LA-04,Project Cypress
CarbonManagement_Assembly_Project Cypress_439_LA-04,Project Cypress
CarbonManagement_Assembly_Project Cypress_51_LA-04,Project Cypress
Long-DurationEnergy_Assembly_Communities Accessing Res_318_MN-08,Communities Accessing Resilient Energy Storage (CARES)
Long-DurationEnergy_Assembly_Communities Accessing Res_3318_MN-08,Communities Accessing Resilient Energy Storage (CARES)
Long-DurationEnergy_Assembly_Communities Accessing Res_47_MN-08,Communities Accessing Resilient Energy Storage (CARES)
Long-DurationEnergy_Assembly_Front-of-the-meter Utiliz_318_ND-01,Front-of-the-meter Utilization of Zinc Bromide Energy Storage (FUZES)
Long-DurationEnergy_Assembly_Front-of-the-meter Utiliz_47_ND-01,Front-of-the-meter Utilization of Zinc Bromide Energy Storage (FUZES)
Long-DurationEnergy_Assembly_Communities Accessing Res_318_NM-03,Communities Accessing Resilient Energy Storage (CARES)
Long-DurationEnergy_Assembly_Communities Accessing Res_3318_NM-03,Communities Accessing Resilient Energy Storage (CARES)
Long-DurationEnergy_Assembly_Communities Accessing Res_47_NM-03,Communities Accessing Resilient Energy Storage (CARES)
CleanEnergy_Assembly_Nevada Gold_3228_NV-02,Nevada Gold Mines Solar PV
CleanEnergy_Assembly_Nevada Gold_3296_NV-02,Nevada Gold Mines Solar PV
CleanEnergy_Assembly_Nevada Gold_3316_NV-02,Nevada Gold Mines Solar PV
CleanEnergy_Assembly_Nevada Gold_3318_NV-02,Nevada Gold Mines Solar PV
CleanEnergy_Assembly_Nevada Gold_3320_NV-02,Nevada Gold Mines Solar PV
CleanEnergy_Assembly_Nevada Gold_439_NV-02,Nevada Gold Mines Solar PV
CleanEnergy_Assembly_Nevada Gold_445_NV-02,Nevada Gold Mines Solar PV
CleanEnergy_Assembly_Nevada Gold_47B_NV-02,Nevada Gold Mines Solar PV
CleanEnergy_Assembly_Nevada Gold_Industry Employee Compensation_NV-02,Nevada Gold Mines Solar PV
Long-DurationEnergy_Assembly_Stored Rechargeable Energ_318_NY-17,Stored Rechargeable Energy Demonstration (STORED)
Long-DurationEnergy_Assembly_Stored Rechargeable Energ_47_NY-17,Stored Rechargeable Energy Demonstration (STORED)
Long-DurationEnergy_Assembly_Stored Rechargeable Energ_318_NY-19,Stored Rechargeable Energy Demonstration (STORED)
Long-DurationEnergy_Assembly_Stored Rechargeable Energ_47_NY-19,Stored Rechargeable Energy Demonstration (STORED)
Long-DurationEnergy_Assembly_Front-of-the-meter Utiliz_318_OR-02,Front-of-the-meter Utilization of Zinc Bromide Energy Storage (FUZES)
Long-DurationEnergy_Assembly_Front-of-the-meter Utiliz_47_OR-02,Front-of-the-meter Utilization of Zinc Bromide Energy Storage (FUZES)
CleanEnergy_Assembly_Mineral Basin_3228_PA-15,Mineral Basin Solar Project
CleanEnergy_Assembly_Mineral Basin_3296_PA-15,Mineral Basin Solar Project
CleanEnergy_Assembly_Mineral Basin_3316_PA-15,Mineral Basin Solar Project
CleanEnergy_Assembly_Mineral Basin_3320_PA-15,Mineral Basin Solar Project
CleanEnergy_Assembly_Mineral Basin_439_PA-15,Mineral Basin Solar Project
CleanEnergy_Assembly_Mineral Basin_445_PA-15,Mineral Basin Solar Project
CleanEnergy_Assembly_Mineral Basin_47B_PA-15,Mineral Basin Solar Project
CleanEnergy_Assembly_Mineral Basin_Industry Employee Compensation_PA-15,Mineral Basin Solar Project
Long-DurationEnergy_Assembly_Second Life Smart Systems_318_SC-02,Second Life Smart Systems (SMART)
Long-DurationEnergy_Assembly_Second Life Smart Systems_3318_SC-02,Second Life Smart Systems (SMART)
Long-DurationEnergy_Assembly_Second Life Smart Systems_47_SC-02,Second Life Smart Systems (SMART)
Long-DurationEnergy_Assembly_Second Life Smart Systems_318_SC-06,Second Life Smart Systems (SMART)
Long-DurationEnergy_Assembly_Second Life Smart Systems_3318_SC-06,Second Life Smart Systems (SMART)
Long-DurationEnergy_Assembly_Second Life Smart Systems_47_SC-06,Second Life Smart Systems (SMART)
CarbonManagement_Assembly_South Texas DAC Hub _260_TX-34,South Texas DAC Hub 
CarbonManagement_Assembly_South Texas DAC Hub _262_TX-34,South Texas DAC Hub 
CarbonManagement_Assembly_South Texas DAC Hub _3260_TX-34,South Texas DAC Hub 
CarbonManagement_Assembly_South Texas DAC Hub _3262_TX-34,South Texas DAC Hub 
CarbonManagement_Assembly_South Texas DAC Hub _439_TX-34,South Texas DAC Hub 
CarbonManagement_Assembly_South Texas DAC Hub _51_TX-34,South Texas DAC Hub 
Long-DurationEnergy_Assembly_Front-of-the-meter Utiliz_318_WI-06,Front-of-the-meter Utilization of Zinc Bromide Energy Storage (FUZES)
Long-DurationEnergy_Assembly_Front-of-the-meter Utiliz_47_WI-06,Front-of-the-meter Utilization of Zinc Bromide Energy Storage (FUZES)
CleanEnergy_Assembly_Nicholas County_3228_WV-01,A Model for Transition: Coal-to-Solar in West Virginia
CleanEnergy_Assembly_Nicholas County_3296_WV-01,A Model for Transition: Coal-to-Solar in West Virginia
CleanEnergy_Assembly_Nicholas County_3316_WV-01,A Model for Transition: Coal-to-Solar in West Virginia
CleanEnergy_Assembly_Nicholas County_3320_WV-01,A Model for Transition: Coal-to-Solar in West Virginia
CleanEnergy_Assembly_Nicholas County_439_WV-01,A Model for Transition: Coal-to-Solar in West Virginia
CleanEnergy_Assembly_Nicholas County_445_WV-01,A Model for Transition: Coal-to-Solar in West Virginia
CleanEnergy_Assembly_Nicholas County_47B_WV-01,A Model for Transition: Coal-to-Solar in West Virginia
CleanEnergy_Assembly_Nicholas County_Industry Employee Compensation_WV-01,A Model for Transition: Coal-to-Solar in West Virginia
Long-DurationEnergy_Children's Hospital Resilient Grid with Energy Storage (CHARGES),Children's Hospital Resilient Grid with Energy Storage (CHARGES)
